SampleID,Site,Long,Lat,AreaName,DO,pH,conductivity,water_temp,ammonia,nitrate,TreatP,shannon_entropy,pielou_evenness,faith_pd,Week,Date,Year
April-1-2017,1,-75.9498,45.3444,South_March_Highlands_Conservation_Forest,7.25,7.44,198.9,14.3,0,0.46,BTI,9.9144,0.9289,95.6567,16,2016/4/22,2016
April-10-2017,2,-75.9498,45.3435,South_March_Highlands_Conservation_Forest,9.37,7.8,230,14.8,0.03,0.32,BTI,9.3895,0.9112,92.8831,16,2016/4/22,2016
April-2-2017,3,-75.9545,45.341,South_March_Highlands_Conservation_Forest,7.36,7.7,159.4,14.4,0.02,0.33,BTI,9.4476,0.9094,95.9642,16,2016/4/22,2016
April-3-2017,4,-75.9497,45.34,South_March_Highlands_Conservation_Forest,7.14,7.1,156.7,14.5,0.01,0.34,BTI,9.7519,0.922,106.8531,16,2016/4/22,2016
April-11-2017,8,-75.9577,45.3344,South_March_Highlands_Conservation_Forest,7.6,8.4,119.6,14.5,0.02,0.23,BTI,9.3223,0.9171,70.127,16,2016/4/22,2016
April-4-2017,10,-75.9644,45.3453,South_March_Highlands_Conservation_Forest,8.84,7.43,702,5.4,0.01,0.28,BTI,8.9298,0.889,78.977,17,2016/4/23,2016
April-5-2017,11,-75.9691,45.3437,South_March_Highlands_Conservation_Forest,6.5,6.84,431,6.3,0.01,0.19,BTI,9.5885,0.9143,91.8629,17,2016/4/23,2016
April-6-2017,12,-75.9693,45.3419,South_March_Highlands_Conservation_Forest,5.55,7.6,320,6.1,0.04,0.26,BTI,9.7793,0.9114,110.4924,17,2016/4/23,2016
April-7-2017,13,-75.9712,45.3397,South_March_Highlands_Conservation_Forest,5.52,7.77,216,10.5,0.06,0.41,BTI,8.8781,0.9032,76.192,17,2016/4/23,2016
April-9-2017,14,-75.9691,45.3366,South_March_Highlands_Conservation_Forest,6.67,7.28,154.4,6.6,0.03,0.37,BTI,9.7669,0.9154,104.3897,17,2016/4/23,2016
April-8-2017,15,-75.9712,45.3347,South_March_Highlands_Conservation_Forest,5.5,7.26,162.4,10.9,0.01,0.43,BTI,10.0258,0.9146,123.3613,17,2016/4/23,2016
April-12-2017,16,-76.0112,45.34965,Carp_-_Hardwood_Plains,5.68,6.79,451,8.6,0.02,0.32,CTRL,9.3272,0.8968,103.227,17,2016/4/28,2016
April-14-2017,18,-76.0053,45.356,Carp_-_Hardwood_Plains,6.48,6.8,86.8,14.7,0.01,0.2,CTRL,8.9791,0.8943,81.5264,17,2016/4/26,2016
April-13-2017,19,-76.0042,45.3552,Carp_-_Hardwood_Plains,7.6,6.77,191.1,13.1,0.01,0.2,CTRL,9.672,0.9019,114.2966,17,2016/4/26,2016
April-18-2017,25,-76.0857,45.38,Carp_Hills,6.33,6.77,307,10.5,0,0.46,CTRL,9.5589,0.91,94.5343,17,2016/4/27,2016
April-19-2017,28,-76.0743,45.3842,Carp_Hills,6.62,6.88,334,14.1,0,0.36,CTRL,8.4425,0.8861,62.0946,17,2016/4/27,2016
April-17-2017,30,-76.0745,45.3869,Carp_Hills,7.65,7.42,300,14.6,0.04,0.27,CTRL,9.0996,0.9109,81.1821,17,2016/4/27,2016
1A-Bti-Kanata-Apr23-17,1,-75.9498,45.3444,South_March_Highlands_Conservation_Forest,6.33,7.06,69.5,12.5,0,0.2,BTI,9.015,0.8967,77.3354,17,2017/4/23,2017
1-Bti-Kan-May3-17,1,-75.9498,45.3444,South_March_Highlands_Conservation_Forest,7.15,6.87,125,12.5,0.03,0.1,BTI,9.9316,0.9234,108.2389,18,2017/5/3,2017
1-Bti-Kanata-May10-17,1,-75.9498,45.3444,South_March_Highlands_Conservation_Forest,7.11,7.07,87.4,7.6,0,0.1,BTI,8.5044,0.8721,63.8365,19,2017/5/10,2017
1-Bti-Kan-Leaf-Jun6-17,1,-75.9498,45.3444,South_March_Highlands_Conservation_Forest,2.68,7.03,108.3,13.3,0,0.5,BTI,9.6024,0.9012,104.1901,23,2017/6/6,2017
